filename,label,crop,disease,original_folder,path
image-00001.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00001.jpg
image-00002.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00002.jpg
image-00003.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00003.jpg
image-00004.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00004.jpg
image-00005.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00005.jpg
image-00006.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00006.jpg
image-00007.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00007.jpg
image-00008.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00008.jpg
image-00009.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00009.jpg
image-00010.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00010.jpg
image-00011.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00011.jpg
image-00012.jpg,pepper_bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,PlantVillage_processed/pepper_bell_bacterial_spot/image-00012.jpg
